,CountryName,Inequality,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
161,South Africa,Total,22.0,37.0,73.0,18.12,43.0,36.1,13.7,,,18.0,,57.5,4.7,16.46,,88.0,,,,,14.92,73.0,67.0,
162,South Africa,Women,,,74.0,13.32,38.0,27.5,3.6,,,,,59.5,4.7,19.05,,88.0,,,,,14.37,,64.0,
163,South Korea,High,,,,,,,,,,,2.6,,,,,,,38.0,,562.0,,,,
164,South Korea,Low,,,,,,,,,,,1.11,,,,,,,29.0,,480.0,,,,
165,South Korea,Men,,,90.0,,76.0,73.4,1.0,,,,3.1,79.3,5.6,0.05,,76.0,,36.0,,510.0,15.05,,76.0,17.8
166,South Korea,Total,28.0,2.5,88.0,,67.0,66.6,1.0,21882.0,285980.0,15.0,2.6,82.4,5.9,0.05,35191.0,78.0,1.5,33.0,2.9,519.0,14.7,77.0,76.0,17.3
167,South Korea,Women,,,85.0,,57.0,60.0,1.0,,,,2.1,85.4,6.1,0.05,,81.0,,29.0,,529.0,14.0,,76.0,16.7
168,Spain,High,,,,,,,,,,,13.05,,,,,,,82.0,,535.0,,,,
169,Spain,Low,,,,,,,,,,,36.71,,6.0,,,91.0,,71.0,,453.0,,,,
170,Spain,Men,,,56.0,5.73,68.0,84.7,0.7,,,,21.1,80.5,6.2,6.65,,93.0,,75.0,,492.0,16.17,,71.0,17.6
171,Spain,Total,11.0,0.1,59.0,4.01,62.0,82.1,0.6,23999.0,373548.0,21.0,23.1,83.4,6.3,7.66,38507.0,93.0,1.9,72.0,1.8,491.0,15.93,70.0,72.0,17.9
172,Spain,Women,,,62.0,2.15,57.0,79.7,0.5,,,,25.0,86.3,6.4,8.82,,94.0,,70.0,,491.0,15.48,,74.0,18.2
173,Sweden,High,,,,,,,,,,,2.15,,7.7,,,92.0,,86.0,,543.0,,,,
174,Sweden,Low,,,,,,,,,,,9.51,,,,,,,64.0,,454.0,,,,
175,Sweden,Men,,,82.0,1.54,78.0,87.9,1.3,,,,3.9,80.6,7.3,1.3,,91.0,,78.0,,488.0,15.12,,96.0,18.5
176,Sweden,Total,6.0,0.0,83.0,1.07,77.0,75.6,0.9,31287.0,,19.0,3.2,82.4,7.3,1.12,42393.0,91.0,1.7,75.0,2.0,496.0,15.18,86.0,96.0,19.3
177,Sweden,Women,,,84.0,0.59,75.0,63.2,0.5,,,,2.4,84.1,7.3,0.92,,92.0,,72.0,,504.0,15.23,,96.0,20.1
178,Switzerland,High,,,,,,,,,,,,,,,,,,86.0,,558.0,,,,
179,Switzerland,Low,,,,,,,,,,,,,,,,,,67.0,,460.0,,,,
180,Switzerland,Men,,,89.0,0.45,84.0,88.8,0.7,,,,,81.7,7.5,1.66,,94.0,,80.0,,505.0,,,95.0,17.6
181,Switzerland,Total,15.0,0.1,88.0,0.37,80.0,85.3,0.6,37466.0,,22.0,,83.7,7.5,1.82,62283.0,93.0,1.9,78.0,2.3,506.0,,49.0,95.0,17.5
182,Switzerland,Women,,,86.0,0.29,75.0,81.9,0.5,,,,,85.6,7.5,2.0,,93.0,,76.0,,508.0,,,96.0,17.4
183,Turkey,High,,,,,,,,,,,11.48,,6.0,,,90.0,,78.0,,460.0,,,,
184,Turkey,Low,,,,,,,,,,,11.22,,5.2,,,82.0,,66.0,,400.0,,,,
185,Turkey,Men,,,43.0,36.01,71.0,67.3,2.2,,,,10.2,75.3,5.4,1.65,,86.0,,74.0,,420.0,14.97,,65.0,18.6
186,Turkey,Total,20.0,8.0,39.0,32.64,52.0,59.8,1.4,,,20.0,12.5,78.0,5.5,2.39,,86.0,1.0,69.0,1.5,425.0,14.79,86.0,65.0,18.3
187,Turkey,Women,,,35.0,24.48,32.0,52.4,0.5,,,,14.9,80.7,5.5,3.94,,86.0,,65.0,,429.0,14.2,,65.0,18.0
188,United Kingdom,High,,,,,,,,,,,3.1,,7.1,,,,,83.0,,546.0,,,,
189,United Kingdom,Low,,,,,,,,,,,7.02,,6.8,,,,,60.0,,466.0,,,,
190,United Kingdom,Men,,,81.0,17.66,80.0,81.3,0.2,,,,4.9,79.4,6.9,1.3,,94.0,,69.0,,498.0,14.97,,82.0,17.0
