Year,Country,CountryCode,ParentCountry,ParentCountryCode,Sex,SexCode,AgeGroup,AgeGroupCode,SuicideRate
2019,Namibia,NAM,Africa,AFR,Both sexes,BTSX,15-24 years,YEARS15-24,7.77
2019,Zambia,ZMB,Africa,AFR,Female,FMLE,45-54 years,YEARS45-54,7.77
2019,Australia,AUS,Western Pacific,WPR,Female,FMLE,55-64 years,YEARS55-64,7.78
2019,Germany,DEU,Europe,EUR,Both sexes,BTSX,25-34 years,YEARS25-34,7.78
2019,Israel,ISR,Europe,EUR,Both sexes,BTSX,45-54 years,YEARS45-54,7.79
2019,Bahamas,BHS,Americas,AMR,Male,MLE,55-64 years,YEARS55-64,7.8
2019,Cyprus,CYP,Europe,EUR,Male,MLE,35-44 years,YEARS35-44,7.81
2019,United Arab Emirates,ARE,Eastern Mediterranean,EMR,Female,FMLE,75-84 years,YEARS75-84,7.81
2019,Benin,BEN,Africa,AFR,Female,FMLE,45-54 years,YEARS45-54,7.82
2019,Greece,GRC,Europe,EUR,Both sexes,BTSX,45-54 years,YEARS45-54,7.82
2019,Mexico,MEX,Americas,AMR,Both sexes,BTSX,75-84 years,YEARS75-84,7.83
2019,Switzerland,CHE,Europe,EUR,Both sexes,BTSX,25-34 years,YEARS25-34,7.83
2019,Trinidad and Tobago,TTO,Americas,AMR,Both sexes,BTSX,65-74 years,YEARS65-74,7.83
2019,Belize,BLZ,Americas,AMR,Both sexes,BTSX,45-54 years,YEARS45-54,7.84
2019,Egypt,EGY,Eastern Mediterranean,EMR,Male,MLE,65-74 years,YEARS65-74,7.84
2019,Burkina Faso,BFA,Africa,AFR,Both sexes,BTSX,25-34 years,YEARS25-34,7.85
2019,Germany,DEU,Europe,EUR,Female,FMLE,45-54 years,YEARS45-54,7.85
2019,Bolivia,BOL,Americas,AMR,Female,FMLE,75-84 years,YEARS75-84,7.86
2019,Iraq,IRQ,Eastern Mediterranean,EMR,Both sexes,BTSX,55-64 years,YEARS55-64,7.86
2019,Burkina Faso,BFA,Africa,AFR,Female,FMLE,45-54 years,YEARS45-54,7.87
2019,Singapore,SGP,Western Pacific,WPR,Female,FMLE,35-44 years,YEARS35-44,7.87
2019,Bangladesh,BGD,South-East Asia,SEAR,Male,MLE,55-64 years,YEARS55-64,7.88
2019,Canada,CAN,Americas,AMR,Female,FMLE,55-64 years,YEARS55-64,7.88
2019,Papua New Guinea,PNG,Western Pacific,WPR,Male,MLE,55-64 years,YEARS55-64,7.88
2019,United Arab Emirates,ARE,Eastern Mediterranean,EMR,Both sexes,BTSX,35-44 years,YEARS35-44,7.88
2019,Albania,ALB,Europe,EUR,Male,MLE,55-64 years,YEARS55-64,7.89
2019,Iceland,ISL,Europe,EUR,Female,FMLE,45-54 years,YEARS45-54,7.89
2019,Tonga,TON,Western Pacific,WPR,Female,FMLE,75-84 years,YEARS75-84,7.89
2019,New Zealand,NZL,Western Pacific,WPR,Female,FMLE,15-24 years,YEARS15-24,7.9
2019,United Arab Emirates,ARE,Eastern Mediterranean,EMR,Male,MLE,15-24 years,YEARS15-24,7.9
2019,Mexico,MEX,Americas,AMR,Both sexes,BTSX,35-44 years,YEARS35-44,7.91
2019,Yemen,YEM,Eastern Mediterranean,EMR,Both sexes,BTSX,75-84 years,YEARS75-84,7.91
2019,Belarus,BLR,Europe,EUR,Both sexes,BTSX,15-24 years,YEARS15-24,7.92
2019,Comoros,COM,Africa,AFR,Female,FMLE,45-54 years,YEARS45-54,7.92
2019,Georgia,GEO,Europe,EUR,Both sexes,BTSX,25-34 years,YEARS25-34,7.92
2019,Belarus,BLR,Europe,EUR,Female,FMLE,35-44 years,YEARS35-44,7.93
2019,Bolivia,BOL,Americas,AMR,Female,FMLE,85+ years,YEARS85PLUS,7.93
2019,Cambodia,KHM,Western Pacific,WPR,Male,MLE,15-24 years,YEARS15-24,7.93
2019,Laos,LAO,Western Pacific,WPR,Both sexes,BTSX,55-64 years,YEARS55-64,7.94
2019,Tajikistan,TJK,Europe,EUR,Male,MLE,25-34 years,YEARS25-34,7.94
2019,Fiji,FJI,Western Pacific,WPR,Female,FMLE,65-74 years,YEARS65-74,7.95
