CountryCode,country-code,iso_3166-2,region-code,sub-region-code,F1,CountryName,region,sub-region,Inequality,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
DEU,276,ISO 3166-2:DE,150,155,64,Germany,Europe,Western Europe,Women,,,85,1.92,72,67.4,0.5,,,,4.2,83.5,7,1.3,,90,,64,,507,15.57,,92,18.1
DEU,276,ISO 3166-2:DE,150,155,63,Germany,Europe,Western Europe,Total,14,0.2,87,4.26,75,72.5,0.5,34294,259667,20,2.7,81.1,7,1.57,47585,90,1.8,65,1.8,508,15.62,76,91,18.1
DEU,276,ISO 3166-2:DE,150,155,62,Germany,Europe,Western Europe,Men,,,88,6.41,79,77.9,0.5,,,,4.9,78.6,7,1.8,,90,,67,,509,15.65,,91,18.1
DEU,276,ISO 3166-2:DE,150,155,61,Germany,Europe,Western Europe,Low,,,,,,,,,,,10.43,,,,,,,52,,468,,,,
DEU,276,ISO 3166-2:DE,150,155,60,Germany,Europe,Western Europe,High,,,,,,,,,,,2.41,,7.4,,,92,,79,,563,,,,
GRC,300,ISO 3166-2:GR,150,39,69,Greece,Europe,Southern Europe,Women,,,74,4.11,44,50.8,0.5,,,,36,84,5.4,19.42,,80,,71,,466,,,68,18.8
GRC,300,ISO 3166-2:GR,150,39,68,Greece,Europe,Southern Europe,Total,18,0.5,73,6.42,53,60,0.8,17700,150134,23,29.8,81.5,5.4,15.65,26064,80,1.2,74,1.8,458,,64,69,19
GRC,300,ISO 3166-2:GR,150,39,67,Greece,Europe,Southern Europe,Men,,,72,8.31,63,69.8,1.2,,,,23.7,78.9,5.3,12.62,,79,,77,,451,,,71,19.2
GRC,300,ISO 3166-2:GR,150,39,66,Greece,Europe,Southern Europe,Low,,,,,,,,,,,32.72,,4.4,,,67,,,,420,,,,
GRC,300,ISO 3166-2:GR,150,39,65,Greece,Europe,Southern Europe,High,,,,,,,,,,,23.78,,6.2,,,88,,82,,506,,,,
HUN,348,ISO 3166-2:HU,150,151,74,Hungary,Europe,Eastern Europe,Women,,,82,1.66,61,48.2,0.7,,,,4.6,79.7,5.6,1.87,,87,,56,,477,,,77,16.6
HUN,348,ISO 3166-2:HU,150,151,73,Hungary,Europe,Eastern Europe,Total,19,4.7,84,3.03,68,56.3,1,,104458,19,4.7,76.2,5.6,1.72,22576,86,1.2,60,1.2,474,,70,77,16.4
HUN,348,ISO 3166-2:HU,150,151,72,Hungary,Europe,Eastern Europe,Men,,,86,4.24,75,65.6,1.3,,,,4.7,72.6,5.6,1.59,,84,,63,,472,,,77,16.3
HUN,348,ISO 3166-2:HU,150,151,71,Hungary,Europe,Eastern Europe,Low,,,,,,,,,,,10.66,,5.1,,,85,,52,,418,,,,
HUN,348,ISO 3166-2:HU,150,151,70,Hungary,Europe,Eastern Europe,High,,,,,,,,,,,1.62,,6.5,,,,,74,,534,,,,
ISL,352,ISO 3166-2:IS,150,154,79,Iceland,Europe,Northern Europe,Women,,,77,5.6,83,77.8,0.4,,,,0.7,84.1,7.6,0.27,,98,,73,,488,,,98,19.8
ISL,352,ISO 3166-2:IS,150,154,78,Iceland,Europe,Northern Europe,Total,3,0,77,15.06,86,86,0.5,,,24,0.7,82.3,7.5,0.26,61787,98,1.6,76,2.1,481,,79,99,19
ISL,352,ISO 3166-2:IS,150,154,77,Iceland,Europe,Northern Europe,Men,,,77,23.94,88,95.1,0.6,,,,0.7,80.4,7.4,0.24,,97,,80,,473,,,99,18.3
ISL,352,ISO 3166-2:IS,150,154,76,Iceland,Europe,Northern Europe,Low,,,,,,,,,,,0.62,,7.4,,,,,68,,453,,,,
ISL,352,ISO 3166-2:IS,150,154,75,Iceland,Europe,Northern Europe,High,,,,,,,,,,,0.59,,8,,,99,,83,,509,,,,
IRL,372,ISO 3166-2:IE,150,154,84,Ireland,Europe,Northern Europe,Women,,,85,2.28,62,68.9,0.2,,,,5.2,83.6,7,2.55,,96,,83,,507,,,85,18.1
