Year,Country,CountryCode,ParentCountry,ParentCountryCode,Sex,SexCode,SuicideRate,SuicideRateLower,SuicideRateUpper
2008,Venezuela,VEN,Americas,AMR,Female,FMLE,1.11,0.89,9.0
2008,Brunei Darussalam,BRN,Western Pacific,WPR,Female,FMLE,1.12,0.79,1.53
2008,Malta,MLT,Europe,EUR,Female,FMLE,1.13,0.84,1.47
2008,Kuwait,KWT,Eastern Mediterranean,EMR,Female,FMLE,1.15,0.87,1.47
2008,Jordan,JOR,Eastern Mediterranean,EMR,Female,FMLE,1.22,0.87,1.68
2008,Bahamas,BHS,Americas,AMR,Female,FMLE,1.24,0.9,1.66
2008,Barbados,BRB,Americas,AMR,Male,MLE,1.3,1.0,1.66
2008,Turkey,TUR,Europe,EUR,Female,FMLE,1.32,0.92,1.83
2008,Sao Tome and Principe,STP,Africa,AFR,Female,FMLE,1.38,0.8,2.2
2008,Oman,OMN,Eastern Mediterranean,EMR,Female,FMLE,1.52,0.96,2.27
2008,Indonesia,IDN,South-East Asia,SEAR,Female,FMLE,1.57,1.24,1.94
2008,Costa Rica,CRI,Americas,AMR,Female,FMLE,1.61,1.24,2.03
2008,Peru,PER,Americas,AMR,Female,FMLE,1.63,1.14,2.23
2008,Seychelles,SYC,Africa,AFR,Female,FMLE,1.63,1.16,2.23
2008,St. Lucia,LCA,Americas,AMR,Female,FMLE,1.66,1.22,2.22
2008,Mexico,MEX,Americas,AMR,Female,FMLE,1.71,1.59,1.82
2008,Saudi Arabia,SAU,Eastern Mediterranean,EMR,Female,FMLE,1.73,1.17,2.47
2008,Papua New Guinea,PNG,Western Pacific,WPR,Female,FMLE,1.74,0.99,2.85
2008,Belize,BLZ,Americas,AMR,Female,FMLE,1.74,1.3,2.29
2008,Israel,ISR,Europe,EUR,Female,FMLE,1.74,1.39,2.17
2008,Colombia,COL,Americas,AMR,Female,FMLE,1.77,1.49,2.07
2008,Syria,SYR,Eastern Mediterranean,EMR,Both sexes,BTSX,1.81,1.2,2.45
